"","nct_id","x"
"96","NCT00000293","Drug"
"97","NCT00000294","Drug"
"98","NCT00000295","Drug"
"99","NCT00000296","Drug"
"100","NCT00000297","Drug"
"101","NCT00000298","Drug"
"102","NCT00000299","Drug"
"103","NCT00000300","Drug"
"104","NCT00000301","Drug"
"105","NCT00000303","Drug"
"106","NCT00000304","Drug"
"107","NCT00000306","Drug"
"108","NCT00000307","Drug"
"109","NCT00000308","Drug"
"110","NCT00000309","Drug"
"111","NCT00000310","Drug"
"112","NCT00000314","Drug"
"113","NCT00000315","Drug"
"114","NCT00000316","Drug"
"115","NCT00000317","Drug"
"116","NCT00000318","Drug"
"117","NCT00000319","Drug"
"118","NCT00000320","Drug"
"119","NCT00000321","Drug"
"120","NCT00000322","Behavioral"
"121","NCT00000324","Drug"
"122","NCT00000332","Drug"
"123","NCT00000333","Drug"
"124","NCT00000334","Drug"
"125","NCT00000335","Drug"
"126","NCT00000336","Drug"
"127","NCT00000337","Drug"
"128","NCT00000341","Drug"
"129","NCT00000342","Drug"
"130","NCT00000343","Behavioral"
"131","NCT00000345","Drug"
"132","NCT00000347","Drug"
"133","NCT00000352","Drug"
"134","NCT00000353","Drug"
"135","NCT00000354","Drug"
"136","NCT00000355","Drug"
"137","NCT00000356","Drug"
"138","NCT00000357","Drug"
"139","NCT00000359","Behavioral"
"140","NCT00000368","Behavioral"
"141","NCT00000371","Drug"
"142","NCT00000373","Drug"
"143","NCT00000374","Drug"
"144","NCT00000378","Drug"
"145","NCT00000383","Behavioral"
"146","NCT00000385","Drug"
"147","NCT00000387","Behavioral"
"148","NCT00000391","Drug"
"149","NCT00000392","Drug"
"150","NCT00000393","Drug"
"151","NCT00000394","Procedure"
"152","NCT00000395","Drug"
"153","NCT00000396","Behavioral"
"154","NCT00000397","Behavioral"
"155","NCT00000398","Behavioral"
"156","NCT00000399","Drug"
"157","NCT00000400","Drug"
"158","NCT00000401","Drug"
"159","NCT00000402","Drug"
"160","NCT00000403","Drug"
"161","NCT00000404","Behavioral"
"162","NCT00000405","Procedure"
"163","NCT00000407","Behavioral"
"164","NCT00000408","Procedure"
"165","NCT00000409","Procedure"
"166","NCT00000410","Procedure"
"167","NCT00000411","Procedure"
"168","NCT00000412","Drug"
"169","NCT00000413","Behavioral"
"170","NCT00000414","Behavioral"
"171","NCT00000415","Procedure"
"172","NCT00000416","Other"
"173","NCT00000417","Procedure"
"174","NCT00000419","Drug"
"175","NCT00000420","Drug"
"176","NCT00000421","Drug"
"177","NCT00000422","Behavioral"
"178","NCT00000423","Behavioral"
"179","NCT00000424","Procedure"
"180","NCT00000425","Drug"
"181","NCT00000426","Drug"
"182","NCT00000427","Drug"
"183","NCT00000428","Drug"
"184","NCT00000429","Drug"
"185","NCT00000430","Drug"
"186","NCT00000431","Drug"
"187","NCT00000432","Behavioral"
"188","NCT00000433","Drug"
"189","NCT00000434","Behavioral"
"190","NCT00000435","Drug"
"191","NCT00000436","Behavioral"
"192","NCT00000437","Drug"
"193","NCT00000439","Drug"
"194","NCT00000444","Drug"
"195","NCT00000447","Drug"
"196","NCT00000448","Drug"
"197","NCT00000450","Drug"
"198","NCT00000451","Drug"
"199","NCT00000456","Drug"
"200","NCT00000457","Drug"
"201","NCT00000470","Procedure"
"202","NCT00000479","Drug"
"203","NCT00000512","Drug"
"204","NCT00000521","Behavioral"
"205","NCT00000525","Drug"
"206","NCT00000538","Behavioral"
"207","NCT00000569","Drug"
"208","NCT00000572","Procedure"
"209","NCT00000575","Drug"
"210","NCT00000607","Device"
"211","NCT00000620","Drug"
"212","NCT00000623","Drug"
"213","NCT00000817","Drug"
"214","NCT00000825","Drug"
"215","NCT00000867","Drug"
"216","NCT00000883","Drug"
"217","NCT00000889","Drug"
"218","NCT00000893","Drug"
"219","NCT00000921","Drug"
"220","NCT00000925","Drug"
"221","NCT00000936","Drug"
"222","NCT00000940","Drug"
"223","NCT00000948","Drug"
"224","NCT00001077","Dietary Supplement"
"225","NCT00001082","Drug"
"226","NCT00001088","Biological"
"227","NCT00001110","Procedure"
"228","NCT00001119","Biological"
"229","NCT00001131","Drug"
"230","NCT00001132","Drug"
"231","NCT00001144","Drug"
"232","NCT00001145","Drug"
"233","NCT00001146","Drug"
"234","NCT00001180","Drug"
"235","NCT00001181","Drug"
"236","NCT00001182","Procedure"
"237","NCT00001188","Procedure"
"238","NCT00001189","Procedure"
"239","NCT00001190","Drug"
"240","NCT00001193","Procedure"
"241","NCT00001197","Drug"
"242","NCT00001202","Drug"
"243","NCT00001209","Drug"
"244","NCT00001212","Drug"
"245","NCT00001213","Drug"
"246","NCT00001217","Drug"
"247","NCT00001221","Drug"
"248","NCT00001228","Drug"
"249","NCT00001234","Genetic"
"250","NCT00001237","Drug"
"251","NCT00001239","Drug"
"252","NCT00001249","Drug"
"253","NCT00001250","Drug"
"254","NCT00001251","Drug"
"255","NCT00001253","Behavioral"
"256","NCT00001255","Drug"
"257","NCT00001256","Drug"
"258","NCT00001261","Drug"
"259","NCT00001262","Drug"
"260","NCT00001266","Drug"
"261","NCT00001267","Drug"
"262","NCT00001269","Drug"
"263","NCT00001270","Drug"
"264","NCT00001271","Drug"
"265","NCT00001272","Drug"
"266","NCT00001280","Drug"
"267","NCT00001282","Drug"
"268","NCT00001287","Drug"
"269","NCT00001288","Drug"
"270","NCT00001296","Drug"
"271","NCT00001298","Drug"
"272","NCT00001300","Drug"
"273","NCT00001302","Drug"
"274","NCT00001303","Drug"
"275","NCT00001304","Drug"
"276","NCT00001305","Drug"
"277","NCT00001307","Drug"
"278","NCT00001311","Device"
"279","NCT00001317","Drug"
"280","NCT00001318","Drug"
"281","NCT00001325","Drug"
"282","NCT00001328","Drug"
"283","NCT00001332","Procedure"
"284","NCT00001333","Drug"
"285","NCT00001335","Drug"
"286","NCT00001338","Drug"
"287","NCT00001339","Drug"
"288","NCT00001341","Drug"
"289","NCT00001343","Drug"
"290","NCT00001344","Drug"
"291","NCT00001353","Drug"
"292","NCT00001354","Drug"
"293","NCT00001357","Drug"
"294","NCT00001359","Drug"
"295","NCT00001365","Drug"
"296","NCT00001368","Procedure"
"297","NCT00001378","Drug"
"298","NCT00001381","Drug"
"299","NCT00001382","Biological"
"300","NCT00001383","Drug"
"301","NCT00001384","Drug"
"302","NCT00001386","Drug"
"303","NCT00001387","Drug"
"304","NCT00001396","Device"
"305","NCT00001398","Drug"
"306","NCT00001399","Drug"
"307","NCT00001402","Device"
"308","NCT00001407","Drug"
"309","NCT00001409","Drug"
"310","NCT00001410","Drug"
"311","NCT00001416","Drug"
"312","NCT00001421","Drug"
"313","NCT00001422","Drug"
"314","NCT00001426","Drug"
"315","NCT00001427","Drug"
"316","NCT00001428","Drug"
"317","NCT00001430","Procedure"
"318","NCT00001431","Drug"
"319","NCT00001436","Drug"
"320","NCT00001437","Drug"
"321","NCT00001438","Drug"
"322","NCT00001439","Biological"
"323","NCT00001440","Procedure"
"324","NCT00001442","Drug"
"325","NCT00001443","Drug"
"326","NCT00001444","Drug"
"327","NCT00001445","Biological"
"328","NCT00001446","Drug"
"329","NCT00001449","Drug"
"330","NCT00001450","Drug"
"331","NCT00001457","Drug"
"332","NCT00001464","Procedure"
"333","NCT00001474","Drug"
"334","NCT00001475","Drug"
"335","NCT00001476","Drug"
"336","NCT00001482","Drug"
"337","NCT00001483","Drug"
"338","NCT00001487","Drug"
"339","NCT00001493","Genetic"
"340","NCT00001495","Drug"
"341","NCT00001498","Drug"
"342","NCT00001499","Drug"
"343","NCT00001502","Drug"
"344","NCT00001504","Drug"
"345","NCT00001507","Drug"
"346","NCT00001509","Drug"
"347","NCT00001512","Drug"
"348","NCT00001515","Device"
"349","NCT00001520","Drug"
"350","NCT00001521","Drug"
"351","NCT00001524","Drug"
"352","NCT00001526","Drug"
"353","NCT00001533","Drug"
"354","NCT00001534","Drug"
"355","NCT00001535","Drug"
"356","NCT00001538","Biological"
"357","NCT00001542","Drug"
"358","NCT00001545","Device"
"359","NCT00001550","Drug"
"360","NCT00001554","Device"
"361","NCT00001561","Drug"
"362","NCT00001563","Biological"
"363","NCT00001564","Drug"
"364","NCT00001565","Drug"
"365","NCT00001566","Biological"
"366","NCT00001567","Drug"
"367","NCT00001568","Drug"
"368","NCT00001569","Drug"
"369","NCT00001570","Drug"
"370","NCT00001572","Drug"
"371","NCT00001573","Drug"
"372","NCT00001575","Biological"
"373","NCT00001576","Drug"
"374","NCT00001577","Procedure"
"375","NCT00001579","Drug"
"376","NCT00001586","Biological"
"377","NCT00001587","Procedure"
"378","NCT00001598","Drug"
"379","NCT00001599","Drug"
"380","NCT00001601","Procedure"
"381","NCT00001605","Biological"
"382","NCT00001614","Drug"
"383","NCT00001615","Drug"
"384","NCT00001622","Procedure"
"385","NCT00001623","Procedure"
"386","NCT00001624","Drug"
"387","NCT00001626","Drug"
"388","NCT00001628","Drug"
"389","NCT00001629","Drug"
"390","NCT00001630","Device"
"391","NCT00001631","Procedure"
"392","NCT00001633","Procedure"
"393","NCT00001637","Procedure"
"394","NCT00001644","Drug"
"395","NCT00001646","Drug"
"396","NCT00001647","Procedure"
"397","NCT00001649","Drug"
"398","NCT00001656","Drug"
"399","NCT00001658","Drug"
"400","NCT00001662","Drug"
"401","NCT00001663","Device"
"402","NCT00001666","Device"
"403","NCT00001669","Drug"
"404","NCT00001676","Drug"
"405","NCT00001677","Drug"
"406","NCT00001680","Drug"
"407","NCT00001683","Drug"
"408","NCT00001685","Biological"
"409","NCT00001688","Drug"
"410","NCT00001689","Drug"
"411","NCT00001693","Drug"
"412","NCT00001696","Drug"
"413","NCT00001698","Drug"
"414","NCT00001703","Biological"
"415","NCT00001705","Drug"
"416","NCT00001713","Drug"
"417","NCT00001716","Drug"
"418","NCT00001718","Device"
"419","NCT00001720","Drug"
"420","NCT00001723","Drug"
"421","NCT00001724","Drug"
"422","NCT00001725","Drug"
"423","NCT00001728","Drug"
"424","NCT00001729","Drug"
"425","NCT00001730","Drug"
"426","NCT00001731","Drug"
"427","NCT00001735","Procedure"
"428","NCT00001736","Drug"
"429","NCT00001737","Drug"
"430","NCT00001741","Drug"
"431","NCT00001748","Procedure"
"432","NCT00001749","Drug"
"433","NCT00001750","Drug"
"434","NCT00001752","Drug"
"435","NCT00001753","Procedure"
"436","NCT00001757","Drug"
"437","NCT00001758","Drug"
"438","NCT00001761","Drug"
"439","NCT00001763","Drug"
"440","NCT00001764","Drug"
"441","NCT00001765","Device"
"442","NCT00001766","Drug"
"443","NCT00001768","Drug"
"444","NCT00001776","Device"
"445","NCT00001777","Drug"
"446","NCT00001781","Drug"
"447","NCT00001783","Drug"
"448","NCT00001784","Drug"
"449","NCT00001785","Drug"
"450","NCT00001789","Drug"
"451","NCT00001790","Drug"
"452","NCT00001797","Drug"
"453","NCT00001805","Drug"
"454","NCT00001810","Drug"
"455","NCT00001812","Drug"
"456","NCT00001818","Drug"
"457","NCT00001827","Biological"
"458","NCT00001830","Drug"
"459","NCT00001832","Drug"
"460","NCT00001835","Drug"
"461","NCT00001839","Drug"
"462","NCT00001842","Drug"
"463","NCT00001848","Drug"
"464","NCT00001854","Drug"
"465","NCT00001857","Drug"
"466","NCT00001860","Drug"
"467","NCT00001862","Drug"
"468","NCT00001863","Drug"
"469","NCT00001864","Drug"
"470","NCT00001865","Drug"
"471","NCT00001866","Procedure"
"472","NCT00001870","Drug"
"473","NCT00001873","Device"
"474","NCT00001877","Drug"
"475","NCT00001886","Procedure"
"476","NCT00001889","Procedure"
"477","NCT00001890","Drug"
"478","NCT00001891","Procedure"
"479","NCT00001893","Drug"
"480","NCT00001894","Procedure"
"481","NCT00001895","Drug"
"482","NCT00001901","Drug"
"483","NCT00001903","Drug"
"484","NCT00001905","Drug"
"485","NCT00001906","Biological"
"486","NCT00001909","Drug"
"487","NCT00001911","Drug"
"488","NCT00001917","Drug"
"489","NCT00001919","Drug"
"490","NCT00001923","Procedure"
"491","NCT00001925","Drug"
"492","NCT00001926","Drug"
"493","NCT00001929","Drug"
"494","NCT00001930","Drug"
"495","NCT00001931","Drug"
"496","NCT00001933","Drug"
"497","NCT00001934","Drug"
"498","NCT00001937","Drug"
"499","NCT00001940","Drug"
"500","NCT00001941","Biological"
"501","NCT00001944","Drug"
"502","NCT00001946","Procedure"
"503","NCT00001951","Drug"
"504","NCT00001954","Drug"
"505","NCT00001955","Drug"
"506","NCT00001956","Procedure"
"507","NCT00001958","Drug"
"508","NCT00001959","Drug"
"509","NCT00001960","Device"
"510","NCT00001961","Procedure"
"511","NCT00001962","Drug"
"512","NCT00001963","Procedure"
"513","NCT00001964","Drug"
"514","NCT00001965","Drug"
"515","NCT00001966","Drug"
"516","NCT00001967","Drug"
"517","NCT00001968","Drug"
"518","NCT00001972","Drug"
"519","NCT00001984","Drug"
"520","NCT00001986","Drug"
"521","NCT00002141","Drug"
"522","NCT00002224","Drug"
"523","NCT00002239","Drug"
"524","NCT00002246","Drug"
"525","NCT00002349","Drug"
"526","NCT00002360","Drug"
"527","NCT00002371","Drug"
"528","NCT00002423","Drug"
"529","NCT00002427","Drug"
"530","NCT00002429","Drug"
"531","NCT00002444","Drug"
"532","NCT00002446","Drug"
"533","NCT00002447","Drug"
"534","NCT00002448","Drug"
"535","NCT00002453","Drug"
"536","NCT00002459","Radiation"
"537","NCT00002463","Drug"
"538","NCT00002475","Biological"
"539","NCT00002484","Radiation"
"540","NCT00002485","Procedure"
"541","NCT00002494","Drug"
"542","NCT00002495","Drug"
"543","NCT00002501","Biological"
"544","NCT00002503","Radiation"
"545","NCT00002511","Radiation"
"546","NCT00002514","Biological"
"547","NCT00002519","Drug"
"548","NCT00002520","Drug"
"549","NCT00002523","Drug"
"550","NCT00002524","Biological"
"551","NCT00002525","Drug"
"552","NCT00002526","Biological"
"553","NCT00002527","Drug"
"554","NCT00002528","Drug"
"555","NCT00002529","Drug"
"556","NCT00002537","Drug"
"557","NCT00002539","Biological"
"558","NCT00002542","Drug"
"559","NCT00002543","Drug"
"560","NCT00002544","Drug"
"561","NCT00002545","Drug"
"562","NCT00002546","Drug"
"563","NCT00002547","Drug"
"564","NCT00002548","Drug"
"565","NCT00002550","Drug"
"566","NCT00002551","Drug"
"567","NCT00002552","Biological"
"568","NCT00002553","Drug"
"569","NCT00002554","Drug"
"570","NCT00002555","Drug"
"571","NCT00002556","Drug"
"572","NCT00002558","Biological"
"573","NCT00002559","Biological"
"574","NCT00002560","Biological"
"575","NCT00002561","Biological"
"576","NCT00002562","Drug"
"577","NCT00002563","Procedure"
"578","NCT00002564","Other"
"579","NCT00002565","Drug"
"580","NCT00002567","Biological"
"581","NCT00002568","Drug"
"582","NCT00002569","Drug"
"583","NCT00002570","Drug"
"584","NCT00002571","Biological"
"585","NCT00002572","Biological"
"586","NCT00002574","Biological"
"587","NCT00002575","Procedure"
"588","NCT00002576","Drug"
"589","NCT00002577","Radiation"
"590","NCT00002578","Drug"
"591","NCT00002579","Drug"
"592","NCT00002580","Drug"
"593","NCT00002581","Drug"
"594","NCT00002582","Drug"
"595","NCT00002583","Drug"
"596","NCT00002585","Drug"
"597","NCT00002586","Drug"
"598","NCT00002587","Drug"
"599","NCT00002588","Drug"
"600","NCT00002590","Biological"
"601","NCT00002592","Biological"
"602","NCT00002593","Drug"
"603","NCT00002594","Biological"
"604","NCT00002595","Drug"
"605","NCT00002596","Biological"
"606","NCT00002597","Drug"
"607","NCT00002598","Biological"
"608","NCT00002600","Biological"
"609","NCT00002601","Biological"
"610","NCT00002602","Radiation"
"611","NCT00002604","Drug"
"612","NCT00002608","Drug"
"613","NCT00002609","Biological"
"614","NCT00002610","Biological"
"615","NCT00002611","Biological"
"616","NCT00002615","Drug"
"617","NCT00002618","Biological"
"618","NCT00002619","Biological"
"619","NCT00002620","Drug"
"620","NCT00002621","Biological"
"621","NCT00002622","Drug"
"622","NCT00002623","Drug"
"623","NCT00002624","Procedure"
"624","NCT00002625","Drug"
"625","NCT00002630","Biological"
"626","NCT00002631","Drug"
"627","NCT00002632","Drug"
"628","NCT00002633","Drug"
"629","NCT00002634","Biological"
"630","NCT00002635","Biological"
"631","NCT00002637","Biological"
"632","NCT00002638","Biological"
"633","NCT00002641","Biological"
"634","NCT00002642","Drug"
"635","NCT00002643","Biological"
"636","NCT00002644","Drug"
"637","NCT00002646","Drug"
"638","NCT00002649","Procedure"
"639","NCT00002651","Drug"
"640","NCT00002654","Drug"
"641","NCT00002656","Drug"
"642","NCT00002657","Biological"
"643","NCT00002665","Drug"
"644","NCT00002668","Behavioral"
"645","NCT00002669","Biological"
"646","NCT00002670","Drug"
"647","NCT00002673","Procedure"
"648","NCT00002674","Biological"
"649","NCT00002675","Biological"
"650","NCT00002676","Drug"
"651","NCT00002677","Drug"
"652","NCT00002678","Drug"
"653","NCT00002679","Biological"
"654","NCT00002680","Biological"
"655","NCT00002681","Biological"
"656","NCT00002682","Drug"
"657","NCT00002684","Drug"
"658","NCT00002687","Biological"
"659","NCT00002689","Drug"
"660","NCT00002695","Genetic"
"661","NCT00002700","Drug"
"662","NCT00002703","Radiation"
"663","NCT00002704","Biological"
"664","NCT00002705","Drug"
"665","NCT00002706","Procedure"
"666","NCT00002707","Drug"
"667","NCT00002708","Procedure"
"668","NCT00002711","Drug"
"669","NCT00002716","Drug"
"670","NCT00002717","Drug"
"671","NCT00002718","Biological"
"672","NCT00002719","Biological"
"673","NCT00002720","Drug"
"674","NCT00002721","Drug"
"675","NCT00002722","Drug"
"676","NCT00002723","Drug"
"677","NCT00002725","Drug"
"678","NCT00002727","Radiation"
"679","NCT00002733","Biological"
"680","NCT00002734","Biological"
"681","NCT00002735","Drug"
"682","NCT00002737","Biological"
"683","NCT00002738","Drug"
"684","NCT00002740","Biological"
"685","NCT00002744","Drug"
"686","NCT00002745","Drug"
"687","NCT00002746","Biological"
"688","NCT00002748","Biological"
"689","NCT00002749","Drug"
"690","NCT00002750","Drug"
"691","NCT00002751","Biological"
"692","NCT00002753","Radiation"
"693","NCT00002754","Biological"
"694","NCT00002755","Biological"
"695","NCT00002756","Biological"
"696","NCT00002757","Biological"
"697","NCT00002759","Drug"
"698","NCT00002760","Drug"
"699","NCT00002762","Behavioral"
"700","NCT00002764","Biological"
"701","NCT00002766","Biological"
"702","NCT00002768","Biological"
"703","NCT00002772","Biological"
"704","NCT00002774","Drug"
"705","NCT00002777","Drug"
"706","NCT00002778","Biological"
"707","NCT00002779","Drug"
"708","NCT00002783","Drug"
"709","NCT00002784","Biological"
"710","NCT00002786","Biological"
"711","NCT00002788","Biological"
"712","NCT00002789","Drug"
"713","NCT00002792","Drug"
"714","NCT00002794","Drug"
"715","NCT00002796","Drug"
"716","NCT00002798","Drug"
"717","NCT00002800","Biological"
"718","NCT00002801","Drug"
"719","NCT00002802","Drug"
"720","NCT00002803","Drug"
"721","NCT00002804","Biological"
"722","NCT00002805","Drug"
"723","NCT00002806","Drug"
"724","NCT00002807","Radiation"
"725","NCT00002809","Biological"
"726","NCT00002812","Drug"
"727","NCT00002813","Drug"
"728","NCT00002814","Biological"
"729","NCT00002816","Drug"
"730","NCT00002818","Drug"
"731","NCT00002822","Drug"
"732","NCT00002823","Drug"
"733","NCT00002825","Biological"
"734","NCT00002826","Drug"
"735","NCT00002827","Biological"
"736","NCT00002829","Biological"
"737","NCT00002831","Biological"
"738","NCT00002832","Biological"
"739","NCT00002833","Biological"
"740","NCT00002835","Biological"
"741","NCT00002836","Biological"
"742","NCT00002837","Biological"
"743","NCT00002838","Procedure"
"744","NCT00002839","Drug"
"745","NCT00002840","Drug"
"746","NCT00002842","Drug"
"747","NCT00002844","Drug"
"748","NCT00002848","Procedure"
"749","NCT00002849","Biological"
"750","NCT00002850","Drug"
"751","NCT00002852","Drug"
"752","NCT00002854","Biological"
"753","NCT00002855","Drug"
"754","NCT00002860","Procedure"
"755","NCT00002862","Drug"
"756","NCT00002863","Drug"
"757","NCT00002864","Drug"
"758","NCT00002865","Biological"
"759","NCT00002866","Biological"
"760","NCT00002868","Drug"
"761","NCT00002870","Biological"
"762","NCT00002872","Biological"
"763","NCT00002875","Biological"
"764","NCT00002876","Drug"
"765","NCT00002879","Drug"
"766","NCT00002880","Drug"
"767","NCT00002882","Biological"
"768","NCT00002889","Drug"
"769","NCT00002890","Biological"
"770","NCT00002892","Biological"
"771","NCT00002894","Drug"
"772","NCT00002895","Drug"
"773","NCT00002897","Drug"
"774","NCT00002898","Biological"
"775","NCT00002899","Procedure"
"776","NCT00002900","Procedure"
"777","NCT00002903","Drug"
"778","NCT00002904","Drug"
"779","NCT00002909","Drug"
"780","NCT00002912","Drug"
"781","NCT00002913","Drug"
"782","NCT00002914","Drug"
"783","NCT00002916","Biological"
"784","NCT00002919","Biological"
"785","NCT00002920","Drug"
"786","NCT00002921","Drug"
"787","NCT00002923","Drug"
"788","NCT00002924","Other"
"789","NCT00002925","Drug"
"790","NCT00002930","Procedure"
"791","NCT00002931","Biological"
"792","NCT00002932","Drug"
"793","NCT00002933","Drug"
"794","NCT00002934","Procedure"
"795","NCT00002935","Drug"
"796","NCT00002937","Drug"
"797","NCT00002938","Procedure"
"798","NCT00002939","Drug"
"799","NCT00002941","Drug"
"800","NCT00002942","Procedure"
"801","NCT00002943","Drug"
"802","NCT00002944","Drug"
"803","NCT00002945","Drug"
"804","NCT00002946","Drug"
"805","NCT00002947","Radiation"
"806","NCT00002949","Drug"
"807","NCT00002951","Drug"
"808","NCT00002952","Biological"
"809","NCT00002953","Drug"
"810","NCT00002955","Drug"
"811","NCT00002960","Biological"
"812","NCT00002961","Drug"
"813","NCT00002965","Biological"
"814","NCT00002968","Biological"
"815","NCT00002969","Drug"
"816","NCT00002970","Drug"
"817","NCT00002972","Drug"
"818","NCT00002973","Drug"
"819","NCT00002974","Drug"
"820","NCT00002975","Drug"
"821","NCT00002976","Drug"
"822","NCT00002977","Biological"
"823","NCT00002984","Drug"
"824","NCT00002986","Drug"
"825","NCT00002988","Drug"
"826","NCT00002990","Biological"
"827","NCT00002993","Drug"
"828","NCT00002994","Biological"
"829","NCT00002995","Biological"
"830","NCT00002996","Drug"
"831","NCT00002998","Drug"
"832","NCT00003000","Drug"
"833","NCT00003002","Biological"
"834","NCT00003003","Biological"
"835","NCT00003004","Drug"
"836","NCT00003005","Drug"
"837","NCT00003006","Genetic"
"838","NCT00003008","Drug"
"839","NCT00003009","Biological"
"840","NCT00003010","Drug"
"841","NCT00003011","Drug"
"842","NCT00003012","Drug"
"843","NCT00003013","Drug"
"844","NCT00003014","Drug"
"845","NCT00003018","Drug"
"846","NCT00003019","Drug"
"847","NCT00003020","Biological"
"848","NCT00003023","Biological"
"849","NCT00003025","Biological"
"850","NCT00003026","Drug"
"851","NCT00003027","Biological"
"852","NCT00003028","Drug"
"853","NCT00003029","Drug"
"854","NCT00003031","Drug"
"855","NCT00003032","Biological"
"856","NCT00003035","Biological"
"857","NCT00003039","Drug"
"858","NCT00003040","Procedure"
"859","NCT00003045","Device"
"860","NCT00003046","Biological"
"861","NCT00003048","Drug"
"862","NCT00003049","Drug"
"863","NCT00003050","Drug"
"864","NCT00003052","Drug"
"865","NCT00003056","Drug"
"866","NCT00003057","Drug"
"867","NCT00003058","Drug"
"868","NCT00003061","Drug"
"869","NCT00003062","Drug"
"870","NCT00003065","Biological"
"871","NCT00003068","Drug"
"872","NCT00003070","Drug"
"873","NCT00003072","Drug"
"874","NCT00003075","Drug"
"875","NCT00003076","Drug"
"876","NCT00003077","Dietary Supplement"
"877","NCT00003078","Drug"
"878","NCT00003079","Drug"
"879","NCT00003081","Biological"
"880","NCT00003082","Biological"
"881","NCT00003084","Drug"
"882","NCT00003085","Procedure"
"883","NCT00003087","Drug"
"884","NCT00003088","Drug"
"885","NCT00003091","Biological"
"886","NCT00003092","Drug"
"887","NCT00003093","Biological"
"888","NCT00003096","Genetic"
"889","NCT00003098","Other"
"890","NCT00003099","Drug"
"891","NCT00003101","Biological"
"892","NCT00003102","Radiation"
"893","NCT00003103","Biological"
"894","NCT00003104","Radiation"
"895","NCT00003105","Biological"
"896","NCT00003109","Drug"
"897","NCT00003110","Biological"
"898","NCT00003111","Drug"
"899","NCT00003113","Biological"
"900","NCT00003114","Biological"
"901","NCT00003115","Drug"
"902","NCT00003116","Biological"
"903","NCT00003117","Drug"
"904","NCT00003118","Drug"
"905","NCT00003119","Biological"
"906","NCT00003120","Drug"
"907","NCT00003124","Drug"
"908","NCT00003125","Biological"
"909","NCT00003126","Drug"
"910","NCT00003127","Drug"
"911","NCT00003128","Biological"
"912","NCT00003129","Drug"
"913","NCT00003130","Drug"
"914","NCT00003131","Drug"
"915","NCT00003133","Biological"
"916","NCT00003134","Drug"
"917","NCT00003136","Biological"
"918","NCT00003137","Drug"
"919","NCT00003138","Biological"
"920","NCT00003139","Drug"
"921","NCT00003140","Drug"
"922","NCT00003141","Biological"
"923","NCT00003143","Drug"
